month,pnl_%,trades,cumulative_pnl_%
2024-01,262.7967955770723,27,262.7967955770723
2024-02,1053.2041800662541,49,1316.0009756433265
2024-03,-0.7004585479820733,50,1315.3005170953443
2024-04,0.20727893368508069,52,1315.5077960290294
2024-05,0.3729159182874084,43,1315.8807119473167
2024-06,3.331891254434228,48,1319.2126032017509
2024-07,3.576297548019073,57,1322.78890074977
2024-08,-1.4718660177262526,34,1321.3170347320438
2024-09,1.5934761136138555,46,1322.9105108456577
2024-10,1.0571116090643005,54,1323.967622454722
2024-11,3.7602948974991697,74,1327.727917352221
2024-12,-0.32289972307266773,45,1327.4050176291485
2025-01,1.2212694513727345,54,1328.6262870805213
2025-02,-2.8855324235489896,41,1325.7407546569723
2025-03,0.0016937846162702677,43,1325.7424484415885
2025-04,-1.3324353084649028,44,1324.4100131331236
2025-05,2.0465998703812165,38,1326.4566130035048
2025-06,0.2656845423446251,36,1326.7222975458494
2025-07,0.26982563657637,29,1326.9921231824258
2025-08,2.512760846694307,67,1329.5048840291201
2025-09,2.394932217959969,66,1331.89981624708
2025-10,1.1057619210754144,31,1333.0055781681554
2025-11,-0.4279422974377468,40,1332.5776358707176
2025-12,1.4945212855019063,36,1334.0721571562194
2026-01,0.9823647795477732,18,1335.0545219357673
