month,Total_PnL_%,Trades,Avg_PnL_%,Label
2024-01,132.17436549379718,24,5.507265228908216,BTC - Original (Point-based)
2024-02,70.64850893817234,49,1.44180630486066,BTC - Original (Point-based)
2024-03,-16.06037323918195,45,-0.3568971830929322,BTC - Original (Point-based)
2024-04,-11.66949952654183,34,-0.3432205743100538,BTC - Original (Point-based)
2024-05,-7.717103349809099,35,-0.2204886671374028,BTC - Original (Point-based)
2024-06,-7.018554582509307,57,-0.12313253653525101,BTC - Original (Point-based)
2024-07,-17.898428446364882,49,-0.3652740499258139,BTC - Original (Point-based)
2024-08,-1.858783761623442,49,-0.03793436248211106,BTC - Original (Point-based)
2024-09,7.685587353466842,63,0.12199345005502925,BTC - Original (Point-based)
2024-10,-14.024002813392007,53,-0.2646038266677737,BTC - Original (Point-based)
2024-11,2.672355199002418,47,0.0568586212553706,BTC - Original (Point-based)
2024-12,7.237557218878484,51,0.14191288664467616,BTC - Original (Point-based)
2025-01,-10.945375115619237,88,-0.12437926267749133,BTC - Original (Point-based)
2025-02,-3.5347362411436225,45,-0.07854969424763605,BTC - Original (Point-based)
2025-03,-4.21102405057761,36,-0.11697289029382249,BTC - Original (Point-based)
2025-04,-1.7306513612175596,39,-0.04437567592865537,BTC - Original (Point-based)
2025-05,5.34690518916427,48,0.11139385810758895,BTC - Original (Point-based)
2025-06,3.1867320367515033,40,0.07966830091878759,BTC - Original (Point-based)
2025-07,-12.089431418589715,54,-0.22387835960351324,BTC - Original (Point-based)
2025-08,-13.161437824302315,55,-0.23929886953276935,BTC - Original (Point-based)
2025-09,-3.9159300217875206,43,-0.09106814004157025,BTC - Original (Point-based)
2025-10,-0.278886665200043,63,-0.004426772463492747,BTC - Original (Point-based)
2025-11,-4.061814076785498,56,-0.07253239422831247,BTC - Original (Point-based)
2025-12,-3.7856338017971307,52,-0.07280065003456021,BTC - Original (Point-based)
2026-01,0.5232601591189843,13,0.0402507814706911,BTC - Original (Point-based)
2024-01,140.91497748005693,24,5.8714573950023725,BTC - Adapted (Percentage-based)
2024-02,128.43813912477205,48,2.6757945650994177,BTC - Adapted (Percentage-based)
2024-03,17.54278392190255,45,0.38983964270894556,BTC - Adapted (Percentage-based)
2024-04,-42.54211931823663,30,-1.418070643941221,BTC - Adapted (Percentage-based)
2024-05,33.57844562964978,36,0.9327346008236049,BTC - Adapted (Percentage-based)
2024-06,44.02899919175929,56,0.786232128424273,BTC - Adapted (Percentage-based)
2024-07,14.652637745616904,47,0.3117582499067426,BTC - Adapted (Percentage-based)
2024-08,-11.665386660163115,48,-0.24302888875339823,BTC - Adapted (Percentage-based)
2024-09,68.59886319323975,61,1.1245715277580286,BTC - Adapted (Percentage-based)
2024-10,25.91633519229278,52,0.4983910613902458,BTC - Adapted (Percentage-based)
2024-11,35.291863535300806,46,0.7672144246804523,BTC - Adapted (Percentage-based)
2024-12,25.54277588878858,47,0.5434633167827357,BTC - Adapted (Percentage-based)
2025-01,60.81571444006787,78,0.7796886466675368,BTC - Adapted (Percentage-based)
2025-02,-29.225739412188613,42,-0.6958509383854432,BTC - Adapted (Percentage-based)
2025-03,23.48768390448126,34,0.6908142324847429,BTC - Adapted (Percentage-based)
2025-04,31.9471964722377,35,0.9127770420639343,BTC - Adapted (Percentage-based)
2025-05,54.80092249243585,46,1.191324402009475,BTC - Adapted (Percentage-based)
2025-06,19.324744189472923,39,0.4955062612685365,BTC - Adapted (Percentage-based)
2025-07,14.942927541832677,52,0.28736399118908995,BTC - Adapted (Percentage-based)
2025-08,19.157558205307666,56,0.3420992536662083,BTC - Adapted (Percentage-based)
2025-09,18.088527381196393,40,0.45221318452990983,BTC - Adapted (Percentage-based)
2025-10,39.05406790004566,59,0.661933354238062,BTC - Adapted (Percentage-based)
2025-11,43.286630292961675,55,0.7870296416902123,BTC - Adapted (Percentage-based)
2025-12,28.144769455835217,47,0.5988248820390472,BTC - Adapted (Percentage-based)
2026-01,-10.332340827445538,15,-0.6888227218297025,BTC - Adapted (Percentage-based)
2024-01,455.9136974333586,24,18.996404059723275,ETH - Original (Point-based)
2024-02,130.54701843727693,48,2.7197295507766026,ETH - Original (Point-based)
2024-03,17.74890529648283,56,0.3169447374371934,ETH - Original (Point-based)
2024-04,-1.9072582163807708,49,-0.03892363706899532,ETH - Original (Point-based)
2024-05,-6.941146542701288,49,-0.14165605189186303,ETH - Original (Point-based)
2024-06,-7.811499994358403,48,-0.16273958321580007,ETH - Original (Point-based)
2024-07,25.82820876638762,50,0.5165641753277523,ETH - Original (Point-based)
2024-08,29.647590185501176,65,0.45611677208463347,ETH - Original (Point-based)
2024-09,25.332402051770732,46,0.5507043924297985,ETH - Original (Point-based)
2024-10,6.671473521927794,43,0.1551505470215766,ETH - Original (Point-based)
2024-11,14.348129326898192,31,0.4628428815128449,ETH - Original (Point-based)
2024-12,25.28430019021407,60,0.4214050031702345,ETH - Original (Point-based)
2025-01,24.701615289965563,52,0.47503106326856853,ETH - Original (Point-based)
2025-02,34.31128464411384,64,0.5361138225642788,ETH - Original (Point-based)
2025-03,-1.5679947331418058,36,-0.043555409253939054,ETH - Original (Point-based)
2025-04,11.41774840791385,48,0.2378697584982052,ETH - Original (Point-based)
2025-05,19.515750527823638,56,0.3484955451397078,ETH - Original (Point-based)
2025-06,20.07074766078913,42,0.4778749443045031,ETH - Original (Point-based)
2025-07,-1.35746397344925,42,-0.032320570796410715,ETH - Original (Point-based)
2025-08,42.440261851119686,49,0.8661277928799936,ETH - Original (Point-based)
2025-09,36.26531554739679,64,0.5666455554280748,ETH - Original (Point-based)
2025-10,43.548132233226056,54,0.80644689320789,ETH - Original (Point-based)
2025-11,31.470500453784986,44,0.7152386466769315,ETH - Original (Point-based)
2025-12,21.034700497943458,55,0.38244909996260834,ETH - Original (Point-based)
2026-01,35.89413420204496,29,1.2377287655877571,ETH - Original (Point-based)
2024-01,454.00804798194116,23,19.73948034704092,ETH - Adapted (Percentage-based)
2024-02,139.4043096849226,47,2.9660491422323956,ETH - Adapted (Percentage-based)
2024-03,21.558151910018715,54,0.39922503537071696,ETH - Adapted (Percentage-based)
2024-04,-17.906308377029607,47,-0.3809852846176512,ETH - Adapted (Percentage-based)
2024-05,3.700310415994368,49,0.07551653910192588,ETH - Adapted (Percentage-based)
2024-06,-45.0633736382472,48,-0.93882028413015,ETH - Adapted (Percentage-based)
2024-07,53.12511487178571,49,1.0841860177915452,ETH - Adapted (Percentage-based)
2024-08,79.1171998877574,59,1.3409694896230067,ETH - Adapted (Percentage-based)
2024-09,36.99098870112272,45,0.8220219711360603,ETH - Adapted (Percentage-based)
2024-10,0.6924491880961239,41,0.016889004587710338,ETH - Adapted (Percentage-based)
2024-11,-19.257248064068442,33,-0.5835529716384377,ETH - Adapted (Percentage-based)
2024-12,28.037004145567966,57,0.4918772657117187,ETH - Adapted (Percentage-based)
2025-01,-2.3222767257820687,53,-0.04381654199588809,ETH - Adapted (Percentage-based)
2025-02,80.46524465430853,63,1.277226105623945,ETH - Adapted (Percentage-based)
2025-03,18.729038069947926,36,0.5202510574985535,ETH - Adapted (Percentage-based)
2025-04,-14.720741382157227,46,-0.320016117003418,ETH - Adapted (Percentage-based)
2025-05,35.996116250959744,56,0.6427877901957098,ETH - Adapted (Percentage-based)
2025-06,-18.845368872568606,42,-0.44869925887068113,ETH - Adapted (Percentage-based)
2025-07,10.011096842509113,42,0.23835944863116937,ETH - Adapted (Percentage-based)
2025-08,32.938579705557515,47,0.7008208447990961,ETH - Adapted (Percentage-based)
2025-09,62.122498421050885,63,0.9860714035087442,ETH - Adapted (Percentage-based)
2025-10,42.572849556532624,53,0.803261312387408,ETH - Adapted (Percentage-based)
2025-11,7.404520860178825,43,0.17219815953904244,ETH - Adapted (Percentage-based)
2025-12,2.1165230455918516,53,0.03993439708663871,ETH - Adapted (Percentage-based)
2026-01,51.18529321659925,28,1.828046186307116,ETH - Adapted (Percentage-based)
