Month,Total_PnL_%,Trades,Total_Points,Asset
2024-01,261.69506927111394,21,111092.12225166665,BTC
2024-02,1073.688734894176,41,510991.21180333325,BTC
2024-03,28.517791069686822,34,18686.62331166681,BTC
2024-04,5.695964882954687,46,4046.956773333549,BTC
2024-05,1.738441082729265,41,945.4576850000092,BTC
2024-06,18.2216158492466,34,11346.931605000063,BTC
2024-07,1.9318369786722949,52,-1815.8419166665497,BTC
2024-08,17.407233819400894,29,10422.818654999954,BTC
2024-09,-6.849252797509446,38,-3894.1960166666568,BTC
2024-10,32.93670787994685,41,21995.10908166676,BTC
2024-11,74.56916743202393,68,59321.321380000445,BTC
2024-12,-23.1947552662264,42,-23428.11592833308,BTC
2025-01,29.029039271139315,44,28319.61067166694,BTC
2025-02,10.948034527315764,38,8641.752470000234,BTC
2025-03,9.734151872507129,37,8868.243018333538,BTC
2025-04,23.81049233775463,39,20299.67821833354,BTC
2025-05,7.535943732523673,36,8089.711786666866,BTC
2025-06,17.746257407532887,31,19319.730013333512,BTC
2025-07,-13.306074732390233,29,-14452.708096666578,BTC
2025-08,42.666388446187376,51,49215.49606666692,BTC
2025-09,3.0902121686282618,49,3317.811258333679,BTC
2025-10,12.032951360240544,29,15007.323598333514,BTC
2025-11,26.16226093783564,39,26848.927480000228,BTC
2025-12,2.4728267417054344,37,2090.119421666793,BTC
2026-01,18.323381759702325,14,16712.980625000077,BTC
2024-01,61.71680320996031,27,1563.0829199999996,ETH
2024-02,232.42226399625304,67,6437.546900000002,ETH
2024-03,12.767923166653029,54,408.4753199999994,ETH
2024-04,15.737216665752946,42,535.1725000000012,ETH
2024-05,-8.917913203367482,45,-220.88917999999896,ETH
2024-06,13.555729053463995,17,467.3413899999995,ETH
2024-07,16.187297020968195,46,491.4113800000006,ETH
2024-08,51.9402338235563,51,1462.02962,ETH
2024-09,7.179576449218158,31,209.54949999999965,ETH
2024-10,10.598596275424136,52,283.89364000000177,ETH
2024-11,26.984843615739244,61,729.2748400000003,ETH
2024-12,19.980726009304256,36,731.6731599999999,ETH
2025-01,27.27399616574081,52,897.5252999999994,ETH
2025-02,-21.097554599380132,17,-677.142469999999,ETH
2025-03,14.970003155024246,46,279.97976000000057,ETH
2025-04,2.547104728591284,30,73.47242999999972,ETH
2025-05,22.66775946247626,38,559.3407800000018,ETH
2025-06,3.4211511737915496,35,59.8623099999998,ETH
2025-07,29.053016771755036,53,853.4445800000003,ETH
2025-08,44.65808334458526,66,1814.209119999999,ETH
2025-09,17.369677713426594,46,734.5702599999989,ETH
2025-10,11.4130361325311,46,490.90278000000063,ETH
2025-11,30.556896740613773,36,1020.3321800000004,ETH
2025-12,-0.4615751047187245,30,-16.35163000000005,ETH
2026-01,3.891721382750036,4,119.6860000000001,ETH
